slug,title,category,score,risk_level,salary_low_usd,salary_high_usd,salary_trend,tasks_at_risk_count,tasks_growing_count,defense_skill_1,defense_skill_2,defense_skill_3,insight,score_q1_2025,score_q3_2025,score_q1_2026,score_q2_2026
software-engineer,Software Engineer,Technology,25,Low,110000,200000,rising,4,3,"AI-Assisted Development (Copilot, Cursor)",Prompt Engineering for Code Generation,AI System Design & Architecture,Software engineers who learn to direct AI coding tools are 2-3x more productive. The role is shifting from writing every line to orchestrating AI-generated code and owning architecture.,18,20,23,25
data-scientist,Data Scientist,Technology,20,Low,120000,190000,rising,4,3,LLM Fine-Tuning & Evaluation,AI Strategy & Business Translation,Advanced MLOps & Model Governance,"AutoML handles routine modeling, but data scientists who can frame problems, design experiments, and translate findings into business action are more in demand than ever.",14,16,18,20
devops-engineer,DevOps Engineer,Technology,30,Moderate,115000,185000,rising,4,3,AIOps and Intelligent Automation,Cloud Security & Zero Trust,Platform Engineering Leadership,"AI is automating routine DevOps tasks like pipeline configs and basic monitoring. Engineers who focus on platform strategy, security, and incident response will see their value grow.",22,25,28,30
qa-test-engineer,QA/Test Engineer,Technology,55,High,75000,130000,mixed,5,3,"AI-Powered Test Automation (Testim, Mabl)",ML Model Testing & Validation,Security Testing & Penetration Testing,"AI test generation tools can now write and maintain test suites faster than manual efforts. QA engineers should pivot toward AI output validation, security testing, and quality strategy.",40,45,50,55
it-support-specialist,IT Support Specialist,Technology,65,High,45000,75000,declining,5,3,Cybersecurity Fundamentals,AI Tool Administration,Cloud Platform Management,"AI chatbots and automated ticketing systems now resolve 40-60% of tier-1 support requests. IT specialists who move into security, cloud management, or AI tool administration will stay relevant.",50,55,60,65
web-developer,Web Developer,Technology,45,Moderate,70000,140000,stable,4,3,AI-Powered Development Tools,Full-Stack Architecture,AI/ML Integration in Web Apps,"AI can generate standard web pages and components quickly, but complex interactive applications, accessibility work, and AI-integrated features still need experienced developers.",30,35,40,45
ux-designer,UX Designer,Technology,35,Moderate,85000,150000,stable,4,3,AI Interaction & Conversational Design,User Research Methods,"AI Design Tools (Figma AI, Galileo)","AI can generate mockups and variations fast, but understanding user needs, designing for AI-human interaction, and strategic design thinking remain deeply human skills.",25,28,32,35
database-administrator,Database Administrator,Technology,50,Moderate,80000,140000,stable,4,3,Cloud Database Architecture (AWS/GCP),Data Security & Compliance,Vector Database Management,"Automated tuning and cloud-managed databases handle routine DBA tasks. Specialists in data architecture for AI workloads, vector databases, and security are increasingly sought after.",38,42,46,50
cybersecurity-analyst,Cybersecurity Analyst,Technology,20,Low,90000,165000,rising,4,3,AI Security & Adversarial ML,Threat Intelligence & Hunting,Cloud Security Architecture,"AI creates new attack surfaces faster than it automates defense. Security analysts who understand AI-specific threats — prompt injection, model poisoning, data exfiltration — are in high demand.",15,17,18,20
systems-administrator,Systems Administrator,Technology,55,High,65000,115000,declining,5,3,Cloud Architecture (AWS/Azure/GCP),Infrastructure as Code (Terraform),Security & Compliance Automation,"Cloud platforms and AI-driven automation are replacing traditional sysadmin tasks. Moving toward cloud architecture, security, or platform engineering is the strongest career path forward.",42,46,50,55
